case_folder,mode,method_exactness,N,runtime_median,runtime_ex_norel_median,norel_heur_elapsed_median,runtime_IQR,runtime_CI95_lo,runtime_CI95_hi,nodes_median,nodes_IQR,nodes_CI95_lo,nodes_CI95_hi,mem_gb_median,mem_gb_IQR,mem_gb_CI95_lo,mem_gb_CI95_hi,obj_ppm_median,obj_ppm_IQR,obj_ppm_CI95_lo,obj_ppm_CI95_hi,root_constrs_median,final_constrs_median,final_to_root_constr_ratio_median,success_rate,feasible_rate,mip_gap_median,warm_applied_vars_median,branch_hints_median,speedup_vs_raw,speedup_vs_raw_ex_norel,reference_mode,speedup_vs_reference,wilcoxon_p_runtime,HL_delta_runtime,RBC_runtime,wilcoxon_p_nodes,HL_delta_nodes,RBC_nodes
matpower/case300,ACTIVESET_LAZY_TOPK128,exact,6,484.4079495,89.4079495,380.5,69.08096624999996,436.802571,539.4571825,1.0,0.0,1.0,28.0,,,,,-2828.963621698266,20754.323546834945,-28819.395723921985,20126.347553821975,82620.0,84007.0,1.016787702735415,0.16666666666666666,0.16666666666666666,0.009930735,0.0,0.0,1.2017283017358904,1.9379527600059765,RAW,1.2017283017358904,0.09375,-71.38132299999998,-0.8095238095238095,1.0,0.0,-0.3333333333333333
matpower/case300,ACTIVESET_NOCLEAN,exact,6,214.5569825,62.3943015,150.5,6.911545749999988,201.9073125,233.7725075,1.0,0.0,1.0,1.0,,,,,-606908.3612904779,141666.19097410166,-774315.0056335401,-336994.77905171027,82620.0,83958.0,1.0161946259985475,0.0,0.0,0.003406325,0.0,0.0,2.713156830027659,2.7769904996852954,RAW,2.713156830027659,0.03125,-352.08462,-1.0,1.0,0.0,-1.0
matpower/case300,LAZY_ALL,exact,6,741.9243985,333.9243985,400.5,162.8060519999999,610.8211795,935.9435755,205.0,228.0,1.0,759.0,,,,,11718.201772381555,25606.246919536097,-346.65460105703266,29102.3689433439,82620.0,82620.0,1.0,1.0,1.0,0.01673906,0.0,0.0,0.7846173325434854,0.5188850628415521,RAW,0.7846173325434854,0.09375,148.84456250000005,0.8095238095238095,0.125,157.0,1.0
matpower/case300,LAZY_BANDIT,exact,6,391.7595125,13.74464549999999,377.5,21.72616149999999,378.3528705,402.485077,1.0,0.0,1.0,56.5,,,,,-236850.17760588613,350825.90670467186,-492012.4459021877,-23519.324991611527,82620.0,82620.0,1.0,0.16666666666666666,0.16666666666666666,0.000391765,0.0,0.0,1.4859288005163624,12.606246010491875,RAW,1.4859288005163624,0.03125,-190.59475899999995,-1.0,1.0,0.0,1.0
matpower/case300,LAZY_COMMIT_GNN_T060,heuristic,6,379.3507905,8.719794000000007,373.0,16.701205249999987,373.19841099999996,395.018791,1.0,0.0,1.0,87.0,,,,,-324283.20277937787,502213.59650977934,-585677.7002069058,-47812.794770033994,82620.0,82620.0,1.0,0.0,0.0,0.00233639,0.0,0.0,1.5345341490727695,19.870696773341184,RAW,1.5345341490727695,0.03125,-193.60333899999998,-1.0,1.0,0.0,0.3333333333333333
matpower/case300,LAZY_COMMIT_HINTS,exact,6,447.7875305,67.36948100000001,376.0,590.31797975,414.97756300000003,1211.15909,1.0,247.5,1.0,553.0,,,,,17056.28133264849,60103.27551812736,3125.287235199581,86047.14309037667,82620.0,82620.0,1.0,1.0,1.0,0.019214255,0.0,0.0,1.3000065943104684,2.571912087314432,RAW,1.3000065943104684,1.0,-120.74352949999997,0.047619047619047616,0.5,0.0,0.6666666666666666
matpower/case300,LAZY_GNN_T060,heuristic,6,384.828484,14.729849000000002,369.5,11.803641000000027,371.0409885,391.4964265,1.0,0.0,1.0,38.0,,,,,-325096.9069328893,501165.1088260053,-585354.6972561686,-48084.09050189734,82620.0,82620.0,1.0,0.0,0.0,0.000870205,0.0,0.0,1.5126914111170626,11.763079343175884,RAW,1.5126914111170626,0.03125,-204.978985,-1.0,1.0,0.0,-0.3333333333333333
matpower/case300,LAZY_GNN_T080,heuristic,6,146.12728299999998,3.361268999999993,142.5,192.47921875,116.012271,366.6439875,0.0,0.75,0.0,1.0,,,,,-757231.4789559131,145946.84487092053,-830374.9077773886,-375969.952004362,82620.0,82620.0,1.0,0.0,0.0,0.00584169,0.0,0.0,3.9836964771322005,51.54850221746618,RAW,3.9836964771322005,0.03125,-408.45563549999997,-1.0,0.125,-1.0,-1.0
matpower/case300,LAZY_TOPK128,exact,6,381.386203,12.918067500000006,368.5,32.185944500000005,372.9871285,421.76008,1.0,53.25,1.0,316.5,,,,,-172666.3317236141,385569.986857286,-456798.33050713304,12063.56121241837,82620.0,82620.0,1.0,0.16666666666666666,0.16666666666666666,0.001976795,0.0,0.0,1.5263445240571536,13.41287173952295,RAW,1.5263445240571536,0.03125,-177.74565549999997,-1.0,1.0,0.0,0.3333333333333333
matpower/case300,RAW,exact,6,582.1267425,173.26838249999997,379.5,73.91294749999997,509.28774699999997,716.3308079999999,1.0,0.0,1.0,48.0,,,,,0.0,0.0,0.0,0.0,4412340.0,4412340.0,1.0,1.0,1.0,0.00093879,0.0,0.0,1.0,1.0,RAW,1.0,,,,,,
