case_folder,mode,case_size,avg_runtime_sec,median_runtime_sec,runs,regime
matpower/case89pegase,WARM_PRUNE_T050,89,96.83337816666666,97.54245449999999,6,small
matpower/case89pegase,WARM_PRUNE_T080,89,141.50521466666666,132.03665999999998,6,small
matpower/case89pegase,WARM_SR_LAZY,89,119.0016955,122.259886,6,small
matpower/case118,ACTIVESET,118,31.8776385,30.232028999999997,6,small
matpower/case118,ACTIVESET_B500,118,31.904266500000002,30.2701225,6,small
matpower/case118,ACTIVESET_B5000,118,31.75639766666667,30.239103,6,small
matpower/case118,ACTIVESET_LAZY,118,91.63527433333333,93.5532865,6,small
matpower/case118,ACTIVESET_LAZY_TOPK128,118,92.385803,93.23085549999999,6,small
matpower/case118,ACTIVESET_NOCLEAN,118,31.956938833333336,30.3549225,6,small
matpower/case118,LAZY_ALL,118,90.72574866666666,93.74367050000001,6,small
matpower/case118,LAZY_BANDIT,118,84.58030033333334,91.387862,6,small
matpower/case118,LAZY_COMMIT_GNN_T060,118,89.036968,91.2959835,6,small
matpower/case118,LAZY_COMMIT_HINTS,118,89.03976033333333,91.2706135,6,small
matpower/case118,LAZY_GNN_T060,118,89.38992400000001,91.51613549999999,6,small
matpower/case118,LAZY_GNN_T080,118,90.00446699999999,91.791066,6,small
matpower/case118,LAZY_TOPK128,118,90.87424116666666,91.327821,6,small
matpower/case118,RAW,118,243.5580206666667,242.8428605,6,small
matpower/case118,RAW_COMMIT_HINTS,118,221.61782733333334,220.6610685,6,small
matpower/case118,RAW_GNN,118,28.312795500000004,26.2642385,6,small
matpower/case118,SHRINK_LAZY,118,21.135328,22.292503,6,small
matpower/case118,STREDUCE,118,227.8510215,223.7296565,6,small
matpower/case118,STREDUCE_AGGRESSIVE,118,231.15657866666666,222.0425415,6,small
matpower/case118,STREDUCE_CONSERVATIVE,118,237.686427,236.007476,6,small
matpower/case118,STREDUCE_GRU,118,227.22395416666666,222.97266000000002,6,small
matpower/case118,STREDUCE_LAZY,118,256.362996,254.88736849999998,6,small
matpower/case118,STREDUCE_LAZY_AGGRESSIVE,118,246.35819916666665,250.6052765,6,small
matpower/case118,STREDUCE_LAZY_CONSERVATIVE,118,269.4521966666667,267.1683785,6,small
matpower/case118,STREDUCE_LAZY_GRU,118,255.34627533333332,255.0752485,6,small
matpower/case118,WARM,118,232.91079316666665,237.066362,6,small
matpower/case118,WARM_ACTIVESET,118,32.575876666666666,31.1240465,6,small
matpower/case118,WARM_ACTIVESET_LAZY,118,92.57095016666666,94.9387405,6,small
matpower/case118,WARM_BRANCH_HINTS,118,230.88192366666667,225.25097699999998,6,small
matpower/case118,WARM_COMMIT_HINTS,118,226.40069633333334,224.31188200000003,6,small
matpower/case118,WARM_GRU,118,235.4121845,238.240767,6,small
matpower/case118,WARM_LAZY,118,89.03185616666667,91.4235995,6,small
matpower/case118,WARM_LAZY_BANDIT,118,84.98255416666667,90.41411550000001,6,small
matpower/case118,WARM_LAZY_BRANCH_HINTS,118,89.09762649999999,91.503386,6,small
matpower/case118,WARM_LAZY_COMMIT_GNN_T060,118,89.14521116666667,90.7959395,6,small
matpower/case118,WARM_LAZY_COMMIT_GRU,118,88.74553616666667,90.9058455,6,small
matpower/case118,WARM_LAZY_COMMIT_HINTS,118,88.77175683333333,91.1432555,6,small
matpower/case118,WARM_LAZY_GNN_T060,118,89.07829250000002,91.94204,6,small
matpower/case118,WARM_LAZY_GRU,118,89.12802866666668,91.341454,6,small
matpower/case118,WARM_LAZY_ML_STACK,118,84.09994983333333,90.1822835,6,small
matpower/case118,WARM_LAZY_TOPK128,118,93.033971,90.5308985,6,small
matpower/case118,WARM_LPSCREEN_LAZY_T010,118,90.23182983333334,94.6654515,6,small
matpower/case118,WARM_LPSCREEN_LAZY_T020,118,70.94985283333334,72.46898999999999,6,small
matpower/case118,WARM_LPSCREEN_LAZY_T030,118,74.11241483333333,79.40459100000001,6,small
matpower/case118,WARM_LPSCREEN_LAZY_T050,118,61.480962166666664,62.589853500000004,6,small
matpower/case118,WARM_LPSCREEN_LAZY_T080,118,78.610102,78.6185105,6,small
matpower/case118,WARM_LPSCREEN_T010,118,31.50937616666667,29.1463945,6,small
matpower/case118,WARM_LPSCREEN_T020,118,30.968104,28.677723999999998,6,small
matpower/case118,WARM_LPSCREEN_T030,118,32.65738733333333,29.957178,6,small
matpower/case118,WARM_LPSCREEN_T050,118,107.30838449999999,105.7107105,6,small
matpower/case118,WARM_LPSCREEN_T080,118,188.02403166666667,195.620496,6,small
matpower/case118,WARM_PRUNE_LAZY_T010,118,76.10152649999999,79.72524200000001,6,small
matpower/case118,WARM_PRUNE_LAZY_T020,118,71.8024765,82.26185050000001,6,small
matpower/case118,WARM_PRUNE_LAZY_T030,118,68.67539633333332,70.0760375,6,small
matpower/case118,WARM_PRUNE_LAZY_T050,118,58.765382499999994,62.471751499999996,6,small
matpower/case118,WARM_PRUNE_LAZY_T080,118,70.38624266666666,69.62582,6,small
matpower/case118,WARM_PRUNE_T010,118,28.63363,26.0448855,6,small
matpower/case118,WARM_PRUNE_T020,118,29.947473,28.511186,6,small
matpower/case118,WARM_PRUNE_T030,118,32.92925483333333,29.735598000000003,6,small
matpower/case118,WARM_PRUNE_T050,118,102.80889316666666,114.6320595,6,small
matpower/case118,WARM_PRUNE_T080,118,194.99043283333333,194.5450525,6,small
matpower/case118,WARM_SR_LAZY,118,257.2521101666667,253.601221,6,small
matpower/case300,ACTIVESET,300,216.99606766666668,213.88189849999998,6,small
matpower/case300,ACTIVESET_B500,300,221.65585266666668,221.584733,6,small
