case_folder,mode,n,speedup_mean,speedup_median,speedup_mean_ci_lo,speedup_mean_ci_hi,speedup_median_ci_lo,speedup_median_ci_hi,runtime_median_sec,opt_rate,infeasible_rate,mean_case_speedup
matpower/case14,RAW,52,1.0,1.0,1.0,1.0,1.0,1.0,0.07650005817413325,1.0,0.0,
matpower/case14,RAW+COMMIT,52,1.0647883819199218,1.0152902292668446,1.0176241355527305,1.1215603164910528,0.9999962155902544,1.0642844248851755,0.07099997997283936,1.0,0.0,1.044893077879277
matpower/case14,RAW+GNN,52,1.0468988795049425,1.014447999449614,0.9944754985727171,1.1046726011953012,0.9756740788134823,1.057982440190599,0.0740001201629638,1.0,0.0,1.078062500351707
matpower/case14,WARM,52,1.06031507520779,1.02988947408936,1.0100357854304471,1.1156568567724305,0.9887648576319412,1.0864422126886821,0.0764999389648437,1.0,0.0,1.1390003305091103
matpower/case14,WARM+HINTS,52,1.0642910243485821,1.0156314350773044,1.0195620522772322,1.1163067366672659,0.9777767770101302,1.077382565834717,0.07199990749359125,1.0,0.0,1.1340541002024251
matpower/case14,WARM+HINTS+COMMIT,52,1.0708035925110517,1.055727361837878,1.0176705935253951,1.1277475246081972,1.0012700607918,1.1207271766429958,0.0740000009536743,1.0,0.0,1.14011951617411
matpower/case14,WARM+HINTS+COMMIT+GRU,52,0.8434883642738544,0.8092564951645167,0.8051281733470637,0.8917281238870766,0.7894731888809072,0.8552641898314439,0.0889999866485595,1.0,0.0,1.0278050684516817
matpower/case14,WARM+HINTS+GRU,52,0.8694682906758995,0.8544608667986174,0.8279699396183507,0.918118872443987,0.808082632527044,0.87434179141105,0.08999991416931144,1.0,0.0,1.0252790897637947
matpower/case14,WARM+LAZY,52,1.644529470714618,1.5667014926210754,1.5670583755715992,1.737824556306874,1.5050895293154098,1.6575118056543579,0.0460000038146972,1.0,0.0,8.590397830137299
matpower/case14,WARM+LAZY+BANDIT,52,1.7706746777843152,1.7368110158278571,1.6842994474640283,1.8742581890999026,1.596151377324581,1.818180504580531,0.04449999332427975,1.0,0.0,8.614709779776403
matpower/case14,WARM+LAZY+COMMIT,52,1.7541369538670077,1.6872920213356584,1.6559764059202653,1.863758423678242,1.5983007043305166,1.7752490709845594,0.04400002956390375,1.0,0.0,8.59362496036137
matpower/case14,WARM+LAZY+GRU,52,1.4412013723087493,1.3508861975671196,1.3707456119171466,1.5262875020676274,1.315786611788721,1.4313683324762758,0.052500009536743095,1.0,0.0,8.213334612109252
matpower/case14,WARM+PRUNE-0.10,52,1.3419715356886146,1.2973360158913794,1.2750660284053994,1.4164763887766043,1.2132034630640132,1.4143909466445308,0.061499953269958454,1.0,0.0,9.643985517197217
matpower/case14,WARM+PRUNE-0.10+GNN,52,1.273904959133787,1.3373958278506626,1.2042242814937159,1.3436072497682516,1.1879266647755469,1.3818173312657431,0.06549990177154535,1.0,0.0,9.584479983821792
matpower/case14,WARM+PRUNE-0.20,52,1.3342862885680775,1.2934776974986795,1.2360905734781629,1.462222064317035,1.21154225297222,1.3704912886463898,0.06299996376037595,1.0,0.0,8.6847194416605
matpower/case14,WARM+PRUNE-0.20+GNN,52,1.3353227409800932,1.3289620246212954,1.266968621131026,1.4092136468810077,1.254901594128372,1.4092082466860363,0.062499999999999944,1.0,0.0,8.632062355602704
matpower/case14,WARM+PRUNE-0.30,52,1.327950279549893,1.3021724422690593,1.2637942613096265,1.3975513978208516,1.220586495677822,1.4062784476783117,0.06300008296966544,1.0,0.0,6.956630728496769
matpower/case14,WARM+PRUNE-0.30+GNN,52,1.3404638065537016,1.3319755937578954,1.271190906946196,1.411336551154724,1.2430427905944188,1.3883857064545895,0.06049990653991695,1.0,0.0,6.904809727241395
matpower/case14,WARM+PRUNE-0.50,52,1.2660385040289945,1.2732185907722826,1.1990797875122676,1.3362564873245995,1.1644392094770508,1.3368766264400178,0.0634999275207519,1.0,0.0,3.5615481906559183
matpower/case14,WARM+PRUNE-0.50+GNN,52,1.2981263155816534,1.2678050845021374,1.2323798543264968,1.3693656475286846,1.1889269504350806,1.3749968955977105,0.061499834060668904,1.0,0.0,3.607078431629981
